match_id,blue_team_champs,red_team_champs,blue_win
NA1_5121379795,"Kayle,JarvanIV,Garen,Smolder,Senna","Mordekaiser,Darius,Belveth,Seraphine,Nami",False
NA1_5124368116,"Garen,Gragas,Ryze,Caitlyn,Leona","Briar,Lillia,Zed,Jhin,Senna",True
NA1_5154700016,"Sion,Shaco,Yasuo,Jinx,Viego","Graves,Ornn,Akali,Zeri,Thresh",True
NA1_5176081962,"Aatrox,Warwick,Galio,MissFortune,Pyke","Volibear,Vi,Syndra,Vayne,Braum",True
NA1_5124937882,"Illaoi,LeeSin,Fizz,Caitlyn,Blitzcrank","Jax,Elise,Diana,Ezreal,Neeko",True
NA1_5154770473,"Jax,Pantheon,Irelia,Kaisa,Pyke","Warwick,Sejuani,Teemo,Lucian,Alistar",False
NA1_5163476906,"Jayce,Ambessa,Hwei,Ezreal,Blitzcrank","Malphite,Khazix,Zoe,Caitlyn,Brand",True
NA1_5139226239,"KSante,Sejuani,Hwei,Jinx,Soraka","Tryndamere,Volibear,Jayce,Smolder,Swain",False
NA1_5175136777,"Volibear,Vi,Yasuo,Jinx,Maokai","Malphite,Graves,Kassadin,Jhin,Janna",True
NA1_5136567555,"Singed,Udyr,Xerath,Caitlyn,Leona","Aatrox,Evelynn,Smolder,Jhin,Zyra",False
NA1_5162230132,"Yone,Khazix,Irelia,Jinx,Lulu","Renekton,Volibear,Malzahar,Jhin,Nautilus",True
NA1_5174360925,"Garen,Khazix,Ahri,Brand,Veigar","Urgot,Nocturne,Irelia,Jhin,Nautilus",False
NA1_5140606409,"KSante,Skarner,Akali,MissFortune,Brand","Ryze,Volibear,Xerath,Jhin,Poppy",True
NA1_5139235569,"Darius,Chogath,Ezreal,Ashe,Swain","Mordekaiser,Briar,Malzahar,Xayah,Rakan",True
NA1_5131569977,"Chogath,Karthus,Syndra,Ashe,Nautilus","Sett,Shyvana,Veigar,Sivir,Nami",False
NA1_5174401350,"Volibear,LeeSin,Orianna,Caitlyn,Yuumi","Kayle,MonkeyKing,Graves,Jinx,JarvanIV",False
NA1_5117939130,"Yorick,Hecarim,Kassadin,Caitlyn,Senna","Pantheon,Shyvana,Yone,Ziggs,Zilean",True
NA1_5176563209,"Gwen,Kayn,Galio,Caitlyn,Senna","Illaoi,Graves,Katarina,Kaisa,TahmKench",True
NA1_5148248446,"Karma,XinZhao,Vex,Kaisa,Soraka","Yasuo,Amumu,Nasus,Vayne,Lulu",True
NA1_5023388111,"Tryndamere,Kayn,Yone,Varus,Rell","Kled,Ivern,Corki,Kaisa,Morgana",False
NA1_5175085844,"Garen,Warwick,Hwei,Xayah,Lissandra","Darius,Viego,Velkoz,Jhin,Yuumi",False
NA1_5134945751,"Sion,MasterYi,Akali,Kaisa,Lux","Teemo,Nunu,Zed,Jinx,Morgana",False
NA1_5141009126,"Yone,Amumu,Syndra,Jhin,Brand","Illaoi,Viego,Zoe,Swain,Morgana",True
NA1_5174102789,"Singed,Warwick,Naafiri,MissFortune,Velkoz","Illaoi,Hecarim,Akali,Corki,Akshan",False
NA1_5157921424,"Vayne,MasterYi,Ahri,Ashe,Soraka","Heimerdinger,MonkeyKing,Zed,Swain,TahmKench",False
NA1_5153939109,"Yasuo,Viego,Vex,Draven,Thresh","TahmKench,Pantheon,Swain,Veigar,Senna",True
NA1_5103766444,"Aatrox,Brand,Yasuo,Smolder,Lulu","Darius,Sylas,Syndra,Ezreal,Lux",True
NA1_5031170887,"Akali,Briar,Zed,Jhin,Leona","LeeSin,Nocturne,Lux,Kaisa,Elise",True
NA1_4736409168,"Warwick,Belveth,Lux,Twitch,Swain","Lucian,Diana,Lissandra,Veigar,Alistar",False
NA1_5150637866,"Sion,Shyvana,Ryze,Jinx,Malphite","Poppy,Pantheon,Malzahar,Kaisa,Janna",False
NA1_5170773600,"Kayle,Nidalee,Akshan,Jhin,Galio","KSante,Warwick,Viktor,Sivir,TahmKench",True
NA1_5174465539,"TahmKench,Ekko,Malzahar,Caitlyn,Galio","Alistar,Kayn,Leblanc,Veigar,Velkoz",False
NA1_5040638201,"Mordekaiser,Khazix,Zed,Jhin,Zyra","Rumble,Viego,Akali,Draven,Poppy",False
NA1_5173051065,"Gangplank,Graves,Xerath,MissFortune,Zyra","Camille,Briar,Azir,Aphelios,Shen",True
NA1_5130688869,"Rammus,XinZhao,Yone,Jhin,Neeko","DrMundo,Amumu,Sion,Caitlyn,Zac",True
NA1_5154949849,"Singed,Volibear,Viktor,Jinx,Hwei","Garen,Diana,Ahri,Xayah,Rakan",False
NA1_4789442670,"Pantheon,Karthus,Zed,Ashe,Blitzcrank","KSante,Nocturne,Vex,Sivir,Thresh",False
NA1_5074207987,"KSante,Khazix,Azir,Caitlyn,Nami","Gnar,XinZhao,Galio,MissFortune,Thresh",False
NA1_5171697636,"Ryze,MasterYi,Riven,Draven,Taric","Teemo,Kayn,Viktor,Veigar,Velkoz",False
NA1_5166081469,"Ornn,Shaco,Yasuo,Smolder,Taric","Garen,Ambessa,Akali,Vayne,TahmKench",False
NA1_5162432370,"Ambessa,Briar,Kassadin,Tristana,Nami","Tryndamere,Hecarim,Xerath,Corki,Soraka",False
NA1_5172013009,"TahmKench,Ekko,Anivia,Corki,Velkoz","Jax,Hecarim,Diana,Caitlyn,Brand",True
NA1_5145671776,"Warwick,Kindred,Lux,Cassiopeia,Ashe","Illaoi,Rengar,Syndra,MissFortune,Leona",False
NA1_5160324283,"Gwen,Kayn,Hwei,Jhin,Soraka","Garen,Elise,Irelia,Vayne,Pyke",True
NA1_5133856056,"Lucian,Warwick,Mordekaiser,MissFortune,Lulu","Garen,Gwen,Taliyah,Twitch,Nami",False
NA1_5150350313,"Quinn,Talon,Hwei,Vayne,Milio","Riven,Khazix,Akali,Sivir,Renata",False
NA1_5137362375,"Garen,Mordekaiser,Akali,Jhin,Velkoz","Gnar,Briar,Sylas,Twitch,Lulu",False
NA1_5161878102,"Singed,Warwick,Yasuo,Lucian,Teemo","Malphite,Hecarim,Akali,Sivir,RekSai",True
NA1_5029465897,"Irelia,Udyr,Vladimir,Jinx,Lulu","Ornn,Poppy,Hwei,Tristana,Yuumi",True
NA1_5170692695,"DrMundo,Graves,Talon,Jhin,Brand","Mordekaiser,Shaco,Galio,Kaisa,Shen",True
NA1_5160983208,"Darius,Karthus,Jayce,Caitlyn,Nami","DrMundo,Kindred,Talon,Taliyah,Poppy",False
NA1_5065171325,"Diana,Sion,Shyvana,Rumble,Kaisa","Lux,Hecarim,Jinx,Seraphine,Yone",True
NA1_5165981689,"DrMundo,Briar,Ahri,Sivir,Zilean","Zac,Udyr,Corki,Caitlyn,Thresh",False
NA1_5168923325,"Jayce,Volibear,Ahri,Ezreal,Nami","Malphite,Rengar,Vex,Sivir,Bard",False
NA1_5147834160,"Chogath,Udyr,Lissandra,Jhin,Pyke","Rumble,Graves,Viktor,Caitlyn,Shaco",True
NA1_5131889713,"Akali,Briar,Veigar,Ezreal,Velkoz","Viego,Belveth,Vex,Samira,Lux",True
NA1_5038945936,"Camille,Ekko,Azir,Jinx,Morgana","Garen,Diana,Veigar,Kaisa,Leona",False
NA1_5142268755,"Darius,Khazix,Yasuo,Seraphine,Lux","Pantheon,Teemo,Yone,Twitch,Senna",True
NA1_5176636952,"KSante,Graves,Fizz,Jinx,Janna","Kayle,Lillia,Yone,Tristana,Taric",True
NA1_5162848921,"Malphite,LeeSin,Yasuo,Ashe,Morgana","Riven,Elise,Chogath,Nilah,Maokai",True
NA1_5176402635,"Ornn,Vi,Diana,Vayne,Xerath","Tryndamere,Karthus,Zed,KogMaw,Pyke",True
NA1_5168444445,"Renekton,Viego,Zed,Ashe,Karma","Aurora,Zac,MasterYi,Jinx,Brand",False
NA1_5164339420,"Maokai,Nunu,Malzahar,Ashe,Shen","Chogath,FiddleSticks,Akshan,Jhin,Swain",False
NA1_5173557348,"Teemo,Rengar,Ahri,Jhin,Karma","Pantheon,Warwick,Taliyah,Samira,Swain",False
NA1_5125323130,"MonkeyKing,Udyr,Kassadin,Xayah,Rakan","Pantheon,Graves,Yone,Ziggs,Lissandra",True
NA1_5161255160,"Mordekaiser,Viego,Leblanc,Caitlyn,Soraka","Singed,Nunu,Garen,Ashe,Braum",False
