leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
b0f84140-d23a-4382-b297-584b9aadd549,RANKED_SOLO_5x5,GOLD,I,narEERik4AE2N5nuopxgo9E6N04z07pLL3XK83Q1tsGSOBrn,4,42,36,False,False,False,False
889bca58-ab50-4207-812f-1205f2b56a36,RANKED_SOLO_5x5,GOLD,I,MZ0ZGK5z4F2GBF4nM78byyVpJEpgBf1jcBOyR1vkwrq0-kub,36,12,10,False,False,False,False
5f79fba5-0693-4241-9bf4-a4205c43cb4a,RANKED_SOLO_5x5,GOLD,I,aK7Ej28Il5FmsKHJruAjbw1WWRSJracpC6xP0c04NdgOM8i2,31,12,10,False,False,False,False
9e24f83f-72c0-42eb-b377-b19b8bbfa112,RANKED_SOLO_5x5,GOLD,I,v14l7jGHdwqA3IyJ68GE9HRkI6s_Ufc_R8evlxoT0CpZHWb0,65,37,40,False,False,False,False
355da91d-4f30-4139-97c7-38b1a1144bc9,RANKED_SOLO_5x5,GOLD,I,Zk8Sf4dMUr6PM0cvg7Ppv_8AmWgQTyHHGEEkID-RUXPBYAMl,13,43,31,False,False,False,False
02243959-e977-4c41-b9b7-abd00bc29471,RANKED_SOLO_5x5,GOLD,I,EYb_u1t9OWTFkONmtn3HtB8M1XjUE5onFPNVnoKIlEi3MELN,5,43,47,False,False,False,False
7423aebe-c28e-4026-9639-de313ea0686f,RANKED_SOLO_5x5,GOLD,I,8mhFZU2sisuznAG0nKt8L9-Dl2YR4MKlBSszgFQthrkGseVY,45,14,9,False,False,False,True
ef5ca88e-1d2e-4bc3-a4ed-84fece72ebad,RANKED_SOLO_5x5,GOLD,I,NjbZndwjftuuMmVMl6Z-17GaJXVyIiqqVu21wxtQ3OJnC5l7,45,3,5,False,False,False,False
ddaafb53-4df3-4908-b8dd-87c9c0cc4c06,RANKED_SOLO_5x5,GOLD,I,jkKFQjrUqTuwpH3FhjF6ONK-5ew5kkQpyaPMcyHLHrl_WzSk,60,3,3,False,False,False,False
54378cdf-17e5-4e13-b805-2fa1185a648e,RANKED_SOLO_5x5,GOLD,I,auLnsgqUPrXlc5oLw99AVtxuNcelnUkq7V6HTwimPfY2T6Zs,82,106,92,False,False,False,True
f9eb7940-d753-41ea-acb5-83e5ff0c4a84,RANKED_SOLO_5x5,GOLD,I,dQSIJUDIi0ve0SjFZJQ89-lmVr1ZQq7-7CnKGe-m04tItqyL,70,13,9,False,False,False,False
cae88556-6f2a-42e2-827c-d6b76b85ebfd,RANKED_SOLO_5x5,GOLD,I,TD261Y8PMu-XB1cu3b-7vDj1IydYRSvUCG_dw5OqfJSKIHLh,82,3,3,False,False,True,False
a539f8dd-f902-455d-b9ac-4d2607e6bcbc,RANKED_SOLO_5x5,GOLD,I,nfIgVqEMr-DJsUOMDYxG-2sCPRRFilJqphw1mr0pPVxd7lW0,73,18,19,False,False,False,False
037e2fc8-cb8b-4f19-848e-81c5b506989d,RANKED_SOLO_5x5,GOLD,I,fNFnpyIwgupCbL7jy4bX4pwhO_oGQxYf586QrLGCiM8KBP_L,11,7,7,False,False,False,False
baf22ba8-cb60-49c9-89f7-4a4773835475,RANKED_SOLO_5x5,GOLD,I,C6gVDeVXVJ8reE8T43BxiQZyDgYBAI9etsa8o8vN54YNsabM,13,24,20,False,False,False,True
65076084-a4ce-4760-b917-6d2150c5ecaf,RANKED_SOLO_5x5,GOLD,I,bQq9RmAdk4bIdTfSAXKPqEUcR2x1ordKceCkQIAx1fF8KC5G,36,2,3,False,False,False,False
fc2b60b4-7168-48da-9b34-fa0ca64a438c,RANKED_SOLO_5x5,GOLD,I,haMPwUgCKBG15Kp_n8M25N8LZuu4XAoSn3HMj9JHQpWViwX6,45,4,5,False,False,False,False
6aded7ce-25e1-433c-947f-bfeec3ba867d,RANKED_SOLO_5x5,GOLD,I,PVg8IjEMCSl0vl6x8O5od5B272b5kHU4iszN2DEwLOg8dItd,52,31,30,False,False,False,False
2e2ef87c-a31e-4723-a317-6ffb8ce36418,RANKED_SOLO_5x5,GOLD,I,x80K_K2AAxDtWOQOPorsbp-75tgV9dTnWeNZ8Vo4LZn8dchv,29,33,33,False,False,False,False
48a58086-7a95-4eb5-a3c4-5dc76b1099a5,RANKED_SOLO_5x5,GOLD,I,6pa-S_CkmnYdqIkeS9s8hLUlXqYxosbDhEBqvDz4ZVRjZ8R8,75,104,111,False,False,False,True
c76851ab-4d53-49dc-9fb4-7e1a7ad4bbea,RANKED_SOLO_5x5,GOLD,I,hC0bOLNwgalnHmNOY3V_3iNKnvAzt0ynggWznSM6t-7BvOA9,4,118,103,False,False,True,False
904e0630-50e4-4963-b942-bcd7e935bc8d,RANKED_SOLO_5x5,GOLD,I,CRqlcsbJRvHDmeGjwU0g7nMeBv-lPM4Je0JKmjtcIJHCZAnP,54,55,65,False,False,False,False
05b4aaf2-0d10-4089-831f-e083d02721dc,RANKED_SOLO_5x5,GOLD,I,glJq9Ike074tcycBaLSMNgKXZ-M2YdGYbLTQ7sSFLX_9HxJW,71,81,77,False,False,False,False
0315c44e-75b5-452b-9009-89fdcce7aec1,RANKED_SOLO_5x5,GOLD,I,-1aX_vaI9OdkunUQd-AjFT2buGFisJI45X8rwNCvwUv5vBYg,12,9,10,False,False,False,False
169de6f1-a707-4c62-8aba-2ddd11ffbb81,RANKED_SOLO_5x5,GOLD,I,xHysNXvOLVqMpAwuI2RnddKn8LbgGF5l5tklsdIlwzCKmuar,22,76,78,False,False,False,False
0c8c612e-da57-46e0-a095-da9efc06e460,RANKED_SOLO_5x5,GOLD,I,LFz2RRjuT6Gw8ZgsziT_TcP2qohYPyb_9I56Zxi1hRt2TiCe,46,99,92,False,False,False,False
427e80eb-8075-4b28-8d77-d5062eebf1ff,RANKED_SOLO_5x5,GOLD,I,N1fHksjLDoZ4lKH7tYv8ix71gVfqcQS9OC91QUfupMzyJp2-,37,52,41,False,False,False,False
94928df3-9ac9-4d3d-8953-e3ed7f13a826,RANKED_SOLO_5x5,GOLD,I,hwT5yYKfgKeAWFSEVuj2CIs0sFcYCDTmLwU7OAuDLPM7U0aK,24,2,3,False,False,False,False
c5b97bbe-7293-4e6c-8985-fa25ca332dca,RANKED_SOLO_5x5,GOLD,I,QA5AHe6aSQFAtAvC_t0MXQAXGlPSwKfamKUpp7Nhg94EkqgU,98,59,70,False,False,True,False
c8a24662-acc3-4596-8a56-74d878141d89,RANKED_SOLO_5x5,GOLD,I,eUKCe2ku_bhwv-SgoNhIOBXP5_VmyS7Mi68oyjdTqMErpv_u,68,41,36,False,False,False,False
