leagueId,queueType,tier,rank,summonerId,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,id,accountId,puuid,profileIconId,revisionDate,summonerLevel
b0f84140-d23a-4382-b297-584b9aadd549,RANKED_SOLO_5x5,GOLD,I,narEERik4AE2N5nuopxgo9E6N04z07pLL3XK83Q1tsGSOBrn,4,42,36,False,False,False,False,narEERik4AE2N5nuopxgo9E6N04z07pLL3XK83Q1tsGSOBrn,95lFmEi6KzhUf-yJ5SdOzz7P-daK1HUZ_QUm45ghAIXLYget27eGhdHw,znh4qCf55MErD-UEM5kbbHGiTFzsmMw8AmeWKi9074AOAG9mOndnzPTSOJedBZHdUEXwpRZ2bjHSQg,4658,1733716384305,390
889bca58-ab50-4207-812f-1205f2b56a36,RANKED_SOLO_5x5,GOLD,I,MZ0ZGK5z4F2GBF4nM78byyVpJEpgBf1jcBOyR1vkwrq0-kub,36,12,10,False,False,False,False,MZ0ZGK5z4F2GBF4nM78byyVpJEpgBf1jcBOyR1vkwrq0-kub,bmAxGxmQAxh-RW7Uh3MW7QxF6idPhiL4VjiVtDJzprj_SkkPBo-ehOjK,oqcA9cNDQEBsCNogfjs-O51TxpTVSdM0kSl1Ar52wnv53iG_FGPSNL2TCmOtKuyQxp_UnV7A6rxO1A,4021,1732945317000,211
5f79fba5-0693-4241-9bf4-a4205c43cb4a,RANKED_SOLO_5x5,GOLD,I,aK7Ej28Il5FmsKHJruAjbw1WWRSJracpC6xP0c04NdgOM8i2,31,12,10,False,False,False,False,aK7Ej28Il5FmsKHJruAjbw1WWRSJracpC6xP0c04NdgOM8i2,Cj8FSYRbLwWJUqG1aJEUVVR2h4w_9JHAfJhKpGUZ0TXWZ-U-1gAidJDc,x3qRglpDO2lJ1lfQXQnPbj6T1kHoG0YE96VbsAkPIoMz51iqgLHTLhtIZo9XidzuBL0EguVVk8KWKQ,6698,1733706593128,798
9e24f83f-72c0-42eb-b377-b19b8bbfa112,RANKED_SOLO_5x5,GOLD,I,v14l7jGHdwqA3IyJ68GE9HRkI6s_Ufc_R8evlxoT0CpZHWb0,65,37,40,False,False,False,False,v14l7jGHdwqA3IyJ68GE9HRkI6s_Ufc_R8evlxoT0CpZHWb0,_Gb-fFm78ZNrDIQsy9_kBoU6qzCkUsECWIOTxMF6TB0YAte-rOiioV-h,_VYtNidvvkm8TeNUMeCnInJmwdDZudY4C9jF0VCbMt3HnpZhMnY9yA-vnVkCWdS3lt9E3x92j90ogg,5736,1733766394030,476
355da91d-4f30-4139-97c7-38b1a1144bc9,RANKED_SOLO_5x5,GOLD,I,Zk8Sf4dMUr6PM0cvg7Ppv_8AmWgQTyHHGEEkID-RUXPBYAMl,13,43,31,False,False,False,False,Zk8Sf4dMUr6PM0cvg7Ppv_8AmWgQTyHHGEEkID-RUXPBYAMl,Grnyeqs3Roaj2xYXxXBnHw9hoha7uksqSRz3x0dcdG_5xBwHqVKcX2Gu,gMTXU-RczDDGjSMbmKbR5YI3v2IrrLxLRfGYpx9akh9zDnTbAwepAskrI6dRK0gK2-M7eXtk2cjdeQ,5963,1733771883716,439
02243959-e977-4c41-b9b7-abd00bc29471,RANKED_SOLO_5x5,GOLD,I,EYb_u1t9OWTFkONmtn3HtB8M1XjUE5onFPNVnoKIlEi3MELN,5,43,47,False,False,False,False,EYb_u1t9OWTFkONmtn3HtB8M1XjUE5onFPNVnoKIlEi3MELN,2dDfCsCWbJ5FV2TtlQRZQr2TuIxexAuyey9rbXSr1oePCpNNJK_9f2Il,7POMmRQmjrRK7keXSsNpFA7IHC9AZGSUoIT_gyCg8JBCnYSsyTlU_CsQe_IFF92V_F-I9xnIcKVdiA,4510,1733190314000,466
7423aebe-c28e-4026-9639-de313ea0686f,RANKED_SOLO_5x5,GOLD,I,8mhFZU2sisuznAG0nKt8L9-Dl2YR4MKlBSszgFQthrkGseVY,45,14,9,False,False,False,True,8mhFZU2sisuznAG0nKt8L9-Dl2YR4MKlBSszgFQthrkGseVY,ei6FVI8-3CSV20D205r1qrjVdtM5YzJyW9Dmal0gLCY9-k2kQ8hRwHRP,WdAkgC3muODPAeRXt_vHqQinDH_-SO20q1a8j96HkIz5x5laIbHW7IU1ta5vxHHIvbBQFJAi8J8AEg,6203,1733714362751,557
ef5ca88e-1d2e-4bc3-a4ed-84fece72ebad,RANKED_SOLO_5x5,GOLD,I,NjbZndwjftuuMmVMl6Z-17GaJXVyIiqqVu21wxtQ3OJnC5l7,45,3,5,False,False,False,False,NjbZndwjftuuMmVMl6Z-17GaJXVyIiqqVu21wxtQ3OJnC5l7,sQd8P4Klz0puD-xHmmmGDwVVnpdIQEEeQUw2amE367xJUbvWW1tpJ2ts,J1etSUIgVWy6cjbPtH2yooR3s8wP2tGAR-wjYoKDCcuZ5wDKi4kzKlJKngzxJ-9ZdG76oJkvvLn-xQ,6759,1733764108358,220
ddaafb53-4df3-4908-b8dd-87c9c0cc4c06,RANKED_SOLO_5x5,GOLD,I,jkKFQjrUqTuwpH3FhjF6ONK-5ew5kkQpyaPMcyHLHrl_WzSk,60,3,3,False,False,False,False,jkKFQjrUqTuwpH3FhjF6ONK-5ew5kkQpyaPMcyHLHrl_WzSk,0ztlywKXPuaUGqxz3_QTPJTI4G5AVtjzCXpmTA9dXoK7dTEIaAvoTGbQ,1qrRzxE3bXk9yX0aX4YKKgr25FvpCErqf6NSShHaFusuoIfxkcJzmRDHgwtYDFejGoxfO3rJ_Qz2tw,5305,1733648954000,407
54378cdf-17e5-4e13-b805-2fa1185a648e,RANKED_SOLO_5x5,GOLD,I,auLnsgqUPrXlc5oLw99AVtxuNcelnUkq7V6HTwimPfY2T6Zs,82,106,92,False,False,False,True,auLnsgqUPrXlc5oLw99AVtxuNcelnUkq7V6HTwimPfY2T6Zs,sai_mU6FxsRsVzo89akqCx24btY2PAdSOq9l8-i6GtkG4wJ6_F9f54to,zwlqy-AYG573svBSxV7vj6RbWC3QPmSfpDESirKkwB0j-Ue3a5iJ6SJ5SkxfNqFYIZ-zH9OvWvtR1w,4491,1733750405027,336
